Word [name=20, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=여, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=년, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=미국, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=유럽, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=양, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=대륙, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=리프킨, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=이, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=책, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=통계, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=논거, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=유럽인, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=삶, tfidf=2.4082399653118496, tf=4, df=2, total=8]
Word [name=국한, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=것, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=새, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=국제, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=환경, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=세계적, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=패러다임, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=역설, tfidf=1.2041199826559248, tf=2, df=2, total=8]
---------------------------
Word [name=연결, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=네트워크, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=세계, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=타인, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=관계, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=삶, tfidf=2.4082399653118496, tf=4, df=2, total=8]
Word [name=질, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=이, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=미래, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=사회, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=잣대, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=주장, tfidf=1.2041199826559248, tf=2, df=2, total=8]
---------------------------
Word [name=리프킨, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=자가, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=당착, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=포스트모더니즘, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=대신, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=등장, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=것, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=주장, tfidf=1.2041199826559248, tf=2, df=2, total=8]
---------------------------
Word [name=리프킨, tfidf=1.806179973983887, tf=3, df=2, total=8]
Word [name=역사적, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=문화적, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=맥락, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=부의, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=축적, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=자율성, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=아메리칸, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=핵심, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=형성, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=반대, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=공동체, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=의식, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=삶, tfidf=2.4082399653118496, tf=4, df=2, total=8]
Word [name=질, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=중시, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=유, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=러, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=피, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=언, tfidf=10.23501985257536, tf=17, df=2, total=8]
Word [name=드림, tfidf=10.837079843903323, tf=18, df=2, total=8]
Word [name=덕목, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=유럽, tfidf=1.2041199826559248, tf=2, df=2, total=8]
Word [name=뿌리, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=추적, tfidf=0.6020599913279624, tf=1, df=2, total=8]
---------------------------
Word [name=수십, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=억, tfidf=0.6020599913279624, tf=1, df=2, total=8]
Word [name=인구, tfidf=0.6020599913279624, tf=1, df=2, total=8]
