Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=1, 비교문서 문장번호=37, 비교문서 문장=모리와 함께 한 화요일 은 또 한편의 멜로드라마이고 영웅담이고 윤리 교과서이다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=xenomer&logNo=110030993382&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5345224838248487, tagRate=0.0, editRate=0.5970149253731343, endResult=0.5720179487538201]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=3, 비교문서 문장번호=33, 비교문서 문장=이번 모리와 함께 한 화요일 을 읽으며 죽음에 대한 생각을 참 많이 했다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=jgmmi&logNo=40147212043&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.625, endResult=0.6059401076758504]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=3, 비교문서 문장번호=43, 비교문서 문장=모리와 함께 한 화요일 을 읽고....... 아 포리 즘 aphorism 은 격언 경구 잠언, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=jgmmi&logNo=40147212043&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.5, endResult=0.5309401076758503]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=8, 비교문서 문장번호=0, 비교문서 문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.9999999999999998, tagRate=0.0, editRate=1.0, endResult=0.9999999999999999]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=11, 비교문서 문장번호=1, 비교문서 문장=모리와 함께 한 함께 한 화요일 화요일 이 책을 접하게 된 것은 순전히 나의 전공과목 때문이었다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=kimws94&logNo=100130495331&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5345224838248487, tagRate=0.0, editRate=0.5454545454545454, endResult=0.5410817208026667]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=13, 비교문서 문장번호=18, 비교문서 문장=이후로 미치는 매주 화요일에 모리의 집을 방문하여 모리의 강의를 듣는다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=lajahoj232&logNo=50005361352&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.5396825396825397, endResult=0.5547496314853742]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=14, 비교문서 문장번호=1, 비교문서 문장=모리를 화요일마다 만 나서 나눈 이야기를 엮은 책이다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=kjh_082&logNo=130018183828&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7071067811865475, tagRate=0.0, editRate=0.6226415094339622, endResult=0.6564276181349964]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=17, 비교문서 문장번호=15, 비교문서 문장=그 때를...... 미치는 과거를 재연하고 싶어서 환장한 사람 마냥 매주 화요일마다 모리를 찾는다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=cnxo80&logNo=90084227802&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5345224838248487, tagRate=0.0, editRate=0.4230769230769231, endResult=0.4676551473760933]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=17, 비교문서 문장번호=23, 비교문서 문장=모리가 미치에게 해 주던, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=cnxo80&logNo=90084227802&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7071067811865475, tagRate=0.0, editRate=0.5, endResult=0.5828427124746189]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=18, 비교문서 문장번호=15, 비교문서 문장=모리와 함께 한 화요일 만큼의 감동을 또다시 이 책에서도 느낄 수 있었다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=bell7788&logNo=10084549858&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.6324555320336759, tagRate=0.0, editRate=0.640625, endResult=0.6373572128134704]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=19, 비교문서 문장번호=8, 비교문서 문장=나는 그의 전작 모리와 함께 한 화요일 을 읽고 큰 감명을 받았었다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=leichelle&logNo=150128388227&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7071067811865475, tagRate=0.0, editRate=0.6721311475409836, endResult=0.6861214009992092]
