Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=8, 비교문서 문장번호=0, 비교문서 문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.9999999999999998, tagRate=0.0, editRate=1.0, endResult=0.9999999999999999]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=12, 비교문서 문장번호=46, 비교문서 문장=이 책을 처음으로 읽었다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=cecav16536&logNo=70005929848&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5163977794943222, tagRate=0.0, editRate=0.5675675675675675, endResult=0.5470996523382694]
Data [검사문장번호=2, 검사문장=물론 생명은 모두 누구나 출생과 죽음을 다 거치게 된다., 비교문서번호=8, 비교문서 문장번호=2, 비교문서 문장=물론 모든 생명은 다 출생을 거쳐서 죽음을 거치게 된다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.6249999999999999, tagRate=0.0, editRate=0.7903225806451613, endResult=0.7241935483870967]
Data [검사문장번호=4, 검사문장=이 책에서 죽음을 안다면 진정한 삶까지 알 수 있다고, 비교문서번호=8, 비교문서 문장번호=5, 비교문서 문장=그 이유는 이 책에서 모리 교수는 죽음을 안다면 진정한 삶까지 알 수 있다고, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.8164965809277261, tagRate=0.0, editRate=0.8169014084507042, endResult=0.8167394774415131]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=8, 비교문서 문장번호=6, 비교문서 문장=말했다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.5333333333333333, endResult=0.5509401076758503]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=12, 비교문서 문장번호=13, 비교문서 문장=말했다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=cecav16536&logNo=70005929848&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.5333333333333333, endResult=0.5509401076758503]
Data [검사문장번호=6, 검사문장=이 모리 교수의 말이 처음에 이해가 되지 않았다., 비교문서번호=8, 비교문서 문장번호=7, 비교문서 문장=이 모리 교수의 말이 나는 처음에 이해가 되지 않았다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.9354143466934852, tagRate=0.0, editRate=0.9473684210526315, endResult=0.942586791308973]
Data [검사문장번호=7, 검사문장=하지만 그의 말 뜻을 대충이나마 이해 했다., 비교문서번호=8, 비교문서 문장번호=8, 비교문서 문장=하지만 생각해 보니 그의 말 뜻을 대충이나마 알 것 같다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.6172133998483676, tagRate=0.0, editRate=0.8035714285714286, endResult=0.7290282170822042]
Data [검사문장번호=9, 검사문장=생각하지만 보면 매우 삶이 짧게만 느껴진다., 비교문서번호=8, 비교문서 문장번호=10, 비교문서 문장=여기지만 막상 지나고 보면 매우 삶이 짧게만 느껴진다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7216878364870323, tagRate=0.0, editRate=0.8148148148148148, endResult=0.7775640234837018]
Data [검사문장번호=10, 검사문장=또한 우리는 삶을 살아 감에 있어서 큰 욕심을 가지고 살지만 결국 욕심을 이루지 못하고 죽음 앞에서 작아진다., 비교문서번호=8, 비교문서 문장번호=11, 비교문서 문장=또한 우리는 삶을 살아 감에 있어서 엄청난 욕심을 가지고 살지만 그 욕심들을 다 이루지 못하고 나중에는 결국 죽음 앞에서 작아진다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.9128709291752769, tagRate=0.0, editRate=0.8805970149253731, endResult=0.8935065806253346]
Data [검사문장번호=11, 검사문장=사랑하는 사람과의 영원한 이별이란 매우 힘든 일 인 것 같다., 비교문서번호=8, 비교문서 문장번호=12, 비교문서 문장=소중한 사람과의 영원한 이별이란 정말 힘든 일 인 것 같다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7142857142857142, tagRate=0.0, editRate=0.9104477611940298, endResult=0.8319829424307036]
